Statistic,Year,Sex,Age.Group,value
Bad or very bad health status,2017,Male,20 - 24 years,0.6
Bad or very bad health status,2017,Male,25 - 29 years,0.3
Bad or very bad health status,2017,Male,30 - 34 years,1.6
Bad or very bad health status,2017,Male,35 - 39 years,1.4
Bad or very bad health status,2017,Male,40 - 44 years,0.7
Bad or very bad health status,2017,Male,45 - 49 years,1.5
Bad or very bad health status,2017,Male,50 - 54 years,3.8
Bad or very bad health status,2017,Male,55 - 59 years,3.6
Bad or very bad health status,2017,Male,60 - 64 years,6.8
Bad or very bad health status,2017,Male,65 - 69 years,7.9
Bad or very bad health status,2017,Male,70 - 74 years,9.6
Bad or very bad health status,2017,Male,75 years and over,7.9
Bad or very bad health status,2017,Female,All ages,3.3
Bad or very bad health status,2017,Female,15 - 19 years,0.4
Bad or very bad health status,2017,Female,20 - 24 years,1.5
Bad or very bad health status,2017,Female,25 - 29 years,3.5
Bad or very bad health status,2017,Female,30 - 34 years,0
Bad or very bad health status,2017,Female,35 - 39 years,4.2
Bad or very bad health status,2017,Female,40 - 44 years,3.1
Bad or very bad health status,2017,Female,45 - 49 years,4.4
Bad or very bad health status,2017,Female,50 - 54 years,2.6
Bad or very bad health status,2017,Female,55 - 59 years,5.8
Bad or very bad health status,2017,Female,60 - 64 years,4.8
Bad or very bad health status,2017,Female,65 - 69 years,3.3
Bad or very bad health status,2017,Female,70 - 74 years,3.1
Bad or very bad health status,2017,Female,75 years and over,8.7
Bad or very bad health status,2018,Both sexes,All ages,3.2
Bad or very bad health status,2018,Both sexes,15 - 19 years,0
Bad or very bad health status,2018,Both sexes,20 - 24 years,0
Bad or very bad health status,2018,Both sexes,25 - 29 years,1.8
Bad or very bad health status,2018,Both sexes,30 - 34 years,1.4
Bad or very bad health status,2018,Both sexes,35 - 39 years,2.3
Bad or very bad health status,2018,Both sexes,40 - 44 years,2.9
Bad or very bad health status,2018,Both sexes,45 - 49 years,1.4
Bad or very bad health status,2018,Both sexes,50 - 54 years,3.6
Bad or very bad health status,2018,Both sexes,55 - 59 years,5.6
Bad or very bad health status,2018,Both sexes,60 - 64 years,5.9
Bad or very bad health status,2018,Both sexes,65 - 69 years,6
Bad or very bad health status,2018,Both sexes,70 - 74 years,6.5
Bad or very bad health status,2018,Both sexes,75 years and over,7.9
Bad or very bad health status,2018,Male,All ages,3.6
Bad or very bad health status,2018,Male,15 - 19 years,0
Bad or very bad health status,2018,Male,20 - 24 years,0
Bad or very bad health status,2018,Male,25 - 29 years,2.1
Bad or very bad health status,2018,Male,30 - 34 years,2.3
Bad or very bad health status,2018,Male,35 - 39 years,2.8
Bad or very bad health status,2018,Male,40 - 44 years,4.2
Bad or very bad health status,2018,Male,45 - 49 years,1.4
Bad or very bad health status,2018,Male,50 - 54 years,3
Bad or very bad health status,2018,Male,55 - 59 years,5.7
Bad or very bad health status,2018,Male,60 - 64 years,7.1
Bad or very bad health status,2018,Male,65 - 69 years,6.4
Bad or very bad health status,2018,Male,70 - 74 years,7
Bad or very bad health status,2018,Male,75 years and over,9.1
Bad or very bad health status,2018,Female,All ages,2.8
Bad or very bad health status,2018,Female,15 - 19 years,0
Bad or very bad health status,2018,Female,20 - 24 years,0
Bad or very bad health status,2018,Female,25 - 29 years,1.4
Bad or very bad health status,2018,Female,30 - 34 years,0.7
Bad or very bad health status,2018,Female,35 - 39 years,1.8
Bad or very bad health status,2018,Female,40 - 44 years,1.7
Bad or very bad health status,2018,Female,45 - 49 years,1.4
Bad or very bad health status,2018,Female,50 - 54 years,4.1
Bad or very bad health status,2018,Female,55 - 59 years,5.5
Bad or very bad health status,2018,Female,60 - 64 years,4.7
Bad or very bad health status,2018,Female,65 - 69 years,5.5
Bad or very bad health status,2018,Female,70 - 74 years,6.1
Bad or very bad health status,2018,Female,75 years and over,6.9
Bad or very bad health status,2019,Both sexes,All ages,2.7
Bad or very bad health status,2019,Both sexes,15 - 19 years,0.4
Bad or very bad health status,2019,Both sexes,20 - 24 years,1.2
Bad or very bad health status,2019,Both sexes,25 - 29 years,1
Bad or very bad health status,2019,Both sexes,30 - 34 years,1.7
Bad or very bad health status,2019,Both sexes,35 - 39 years,0.9
Bad or very bad health status,2019,Both sexes,40 - 44 years,1.2
Bad or very bad health status,2019,Both sexes,45 - 49 years,1.7
Bad or very bad health status,2019,Both sexes,50 - 54 years,4.5
Bad or very bad health status,2019,Both sexes,55 - 59 years,3.5
Bad or very bad health status,2019,Both sexes,60 - 64 years,6
Bad or very bad health status,2019,Both sexes,65 - 69 years,3.6
Bad or very bad health status,2019,Both sexes,70 - 74 years,4.6
Bad or very bad health status,2019,Both sexes,75 years and over,7.7
Bad or very bad health status,2019,Male,All ages,2.4
Bad or very bad health status,2019,Male,15 - 19 years,0
Bad or very bad health status,2019,Male,20 - 24 years,0
Bad or very bad health status,2019,Male,25 - 29 years,1.1
Bad or very bad health status,2019,Male,30 - 34 years,0.3
Bad or very bad health status,2019,Male,35 - 39 years,0.8
Bad or very bad health status,2019,Male,40 - 44 years,1.4
Bad or very bad health status,2019,Male,45 - 49 years,2
Bad or very bad health status,2019,Male,50 - 54 years,3.4
Bad or very bad health status,2019,Male,55 - 59 years,3.3
Bad or very bad health status,2019,Male,60 - 64 years,5.6
Bad or very bad health status,2019,Male,65 - 69 years,5
Bad or very bad health status,2019,Male,70 - 74 years,4.7
Bad or very bad health status,2019,Male,75 years and over,7.6
Bad or very bad health status,2019,Female,All ages,3.1
Bad or very bad health status,2019,Female,15 - 19 years,0.9
Bad or very bad health status,2019,Female,20 - 24 years,2.2
Bad or very bad health status,2019,Female,25 - 29 years,0.8
Bad or very bad health status,2019,Female,30 - 34 years,2.9
Bad or very bad health status,2019,Female,35 - 39 years,1
Bad or very bad health status,2019,Female,40 - 44 years,1
Bad or very bad health status,2019,Female,45 - 49 years,1.5
Bad or very bad health status,2019,Female,50 - 54 years,5.5
Bad or very bad health status,2019,Female,55 - 59 years,3.8
Bad or very bad health status,2019,Female,60 - 64 years,6.4
Bad or very bad health status,2019,Female,65 - 69 years,2.5
Bad or very bad health status,2019,Female,70 - 74 years,4.4
Bad or very bad health status,2019,Female,75 years and over,7.8
Bad or very bad health status,2021,Both sexes,All ages,2.9
Bad or very bad health status,2021,Both sexes,15 - 19 years,1.9
Bad or very bad health status,2021,Both sexes,20 - 24 years,1
Bad or very bad health status,2021,Both sexes,25 - 29 years,0.9
Bad or very bad health status,2021,Both sexes,30 - 34 years,0.8
Bad or very bad health status,2021,Both sexes,35 - 39 years,1.5
Bad or very bad health status,2021,Both sexes,40 - 44 years,1.1
Bad or very bad health status,2021,Both sexes,45 - 49 years,2.3
Bad or very bad health status,2021,Both sexes,50 - 54 years,3.4
Bad or very bad health status,2021,Both sexes,55 - 59 years,6.4
Bad or very bad health status,2021,Both sexes,60 - 64 years,7.8
Bad or very bad health status,2021,Both sexes,65 - 69 years,5.6
Bad or very bad health status,2021,Both sexes,70 - 74 years,5.5
Bad or very bad health status,2021,Both sexes,75 years and over,3.2
Bad or very bad health status,2021,Male,All ages,2.4
Bad or very bad health status,2021,Male,15 - 19 years,0.5
Bad or very bad health status,2021,Male,20 - 24 years,1.1
Bad or very bad health status,2021,Male,25 - 29 years,0
Bad or very bad health status,2021,Male,30 - 34 years,1.1
Bad or very bad health status,2021,Male,35 - 39 years,1.1
Bad or very bad health status,2021,Male,40 - 44 years,1.1
Bad or very bad health status,2021,Male,45 - 49 years,1.1
Bad or very bad health status,2021,Male,50 - 54 years,3.4
Bad or very bad health status,2021,Male,55 - 59 years,5
Bad or very bad health status,2021,Male,60 - 64 years,7.3
Bad or very bad health status,2021,Male,65 - 69 years,3.4
Bad or very bad health status,2021,Male,70 - 74 years,7.1
Bad or very bad health status,2021,Male,75 years and over,3.3
Bad or very bad health status,2021,Female,All ages,3.3
Bad or very bad health status,2021,Female,15 - 19 years,3.3
Bad or very bad health status,2021,Female,20 - 24 years,0.9
Bad or very bad health status,2021,Female,25 - 29 years,1.7
Bad or very bad health status,2021,Female,30 - 34 years,0.6
Bad or very bad health status,2021,Female,35 - 39 years,1.7
Bad or very bad health status,2021,Female,40 - 44 years,1.1
Bad or very bad health status,2021,Female,45 - 49 years,3.5
Bad or very bad health status,2021,Female,50 - 54 years,3.3
Bad or very bad health status,2021,Female,55 - 59 years,7.9
Bad or very bad health status,2021,Female,60 - 64 years,8.3
Bad or very bad health status,2021,Female,65 - 69 years,7.2
Bad or very bad health status,2021,Female,70 - 74 years,4.2
Bad or very bad health status,2021,Female,75 years and over,3.1
Bad or very bad health status,2022,Both sexes,All ages,3.5
Bad or very bad health status,2022,Both sexes,15 - 19 years,0.5
Bad or very bad health status,2022,Both sexes,20 - 24 years,1.6
Bad or very bad health status,2022,Both sexes,25 - 29 years,3.8
Bad or very bad health status,2022,Both sexes,30 - 34 years,2.4
Bad or very bad health status,2022,Both sexes,35 - 39 years,1.9
Bad or very bad health status,2022,Both sexes,40 - 44 years,1.6
Bad or very bad health status,2022,Both sexes,45 - 49 years,4.7
Bad or very bad health status,2022,Both sexes,50 - 54 years,4.2
Bad or very bad health status,2022,Both sexes,55 - 59 years,5.1
Bad or very bad health status,2022,Both sexes,60 - 64 years,5.7
Bad or very bad health status,2022,Both sexes,65 - 69 years,3.9
Bad or very bad health status,2022,Both sexes,70 - 74 years,5.4
Bad or very bad health status,2022,Both sexes,75 years and over,6.2
Bad or very bad health status,2022,Male,All ages,3.3
Bad or very bad health status,2022,Male,15 - 19 years,1
Bad or very bad health status,2022,Male,20 - 24 years,1.7
Bad or very bad health status,2022,Male,25 - 29 years,4.7
Bad or very bad health status,2022,Male,30 - 34 years,0.9
Bad or very bad health status,2022,Male,35 - 39 years,1.3
Bad or very bad health status,2022,Male,40 - 44 years,1.7
Bad or very bad health status,2022,Male,45 - 49 years,6.4
Bad or very bad health status,2022,Male,50 - 54 years,4.3
Bad or very bad health status,2022,Male,55 - 59 years,5.7
Bad or very bad health status,2022,Male,60 - 64 years,5.6
Bad or very bad health status,2022,Male,65 - 69 years,3.2
Bad or very bad health status,2022,Male,70 - 74 years,3.9
Bad or very bad health status,2022,Male,75 years and over,4
Bad or very bad health status,2022,Female,All ages,3.6
Bad or very bad health status,2022,Female,15 - 19 years,0
Bad or very bad health status,2022,Female,20 - 24 years,1.5
Bad or very bad health status,2022,Female,25 - 29 years,2.8
Bad or very bad health status,2022,Female,30 - 34 years,3.9
Bad or very bad health status,2022,Female,35 - 39 years,2.3
Bad or very bad health status,2022,Female,40 - 44 years,1.6
Bad or very bad health status,2022,Female,45 - 49 years,3.3
Bad or very bad health status,2022,Female,50 - 54 years,4.2
Bad or very bad health status,2022,Female,55 - 59 years,4.1
Bad or very bad health status,2022,Female,60 - 64 years,5.8
Bad or very bad health status,2022,Female,65 - 69 years,4.6
Bad or very bad health status,2022,Female,70 - 74 years,6.7
Bad or very bad health status,2022,Female,75 years and over,8.2
Bad or very bad health status,2023,Both sexes,All ages,3.5
Bad or very bad health status,2023,Both sexes,15 - 19 years,2
Bad or very bad health status,2023,Both sexes,20 - 24 years,2.3
Bad or very bad health status,2023,Both sexes,25 - 29 years,1.8
Bad or very bad health status,2023,Both sexes,30 - 34 years,2.7
Bad or very bad health status,2023,Both sexes,35 - 39 years,2.1
Bad or very bad health status,2023,Both sexes,40 - 44 years,2.8
Bad or very bad health status,2023,Both sexes,45 - 49 years,2.4
Bad or very bad health status,2023,Both sexes,50 - 54 years,5.3
Bad or very bad health status,2023,Both sexes,55 - 59 years,6.7
Bad or very bad health status,2023,Both sexes,60 - 64 years,5.4
Bad or very bad health status,2023,Both sexes,65 - 69 years,5.9
Bad or very bad health status,2023,Both sexes,70 - 74 years,1.7
Bad or very bad health status,2023,Both sexes,75 years and over,5.1
Bad or very bad health status,2023,Male,All ages,3.3
Bad or very bad health status,2023,Male,15 - 19 years,0
Bad or very bad health status,2023,Male,20 - 24 years,1.9
Bad or very bad health status,2023,Male,25 - 29 years,0.3
Bad or very bad health status,2023,Male,30 - 34 years,2.5
Bad or very bad health status,2023,Male,35 - 39 years,2.4
Bad or very bad health status,2023,Male,40 - 44 years,3.1
Bad or very bad health status,2023,Male,45 - 49 years,2.7
Bad or very bad health status,2023,Male,50 - 54 years,3.9
Bad or very bad health status,2023,Male,55 - 59 years,8.3
Bad or very bad health status,2023,Male,60 - 64 years,4.7
Bad or very bad health status,2023,Male,65 - 69 years,5.8
Bad or very bad health status,2023,Male,70 - 74 years,1.3
Bad or very bad health status,2023,Male,75 years and over,6.4
Bad or very bad health status,2023,Female,All ages,3.8
Bad or very bad health status,2023,Female,15 - 19 years,4.2
Bad or very bad health status,2023,Female,20 - 24 years,2.7
Bad or very bad health status,2023,Female,25 - 29 years,3.4
Bad or very bad health status,2023,Female,30 - 34 years,2.8
Bad or very bad health status,2023,Female,35 - 39 years,1.9
Bad or very bad health status,2023,Female,40 - 44 years,2.5
Bad or very bad health status,2023,Female,45 - 49 years,2
Bad or very bad health status,2023,Female,50 - 54 years,6.7
Bad or very bad health status,2023,Female,55 - 59 years,5.2
Bad or very bad health status,2023,Female,60 - 64 years,6.1
Bad or very bad health status,2023,Female,65 - 69 years,6
Bad or very bad health status,2023,Female,70 - 74 years,2.1
Bad or very bad health status,2023,Female,75 years and over,4.1
Bad or very bad health status,2024,Both sexes,All ages,3.3
Bad or very bad health status,2024,Both sexes,15 - 19 years,1.6
Bad or very bad health status,2024,Both sexes,20 - 24 years,1.4
Bad or very bad health status,2024,Both sexes,25 - 29 years,1.4
Bad or very bad health status,2024,Both sexes,30 - 34 years,1.3
Bad or very bad health status,2024,Both sexes,35 - 39 years,1.9
Bad or very bad health status,2024,Both sexes,40 - 44 years,2.1
Bad or very bad health status,2024,Both sexes,45 - 49 years,2.8
Bad or very bad health status,2024,Both sexes,50 - 54 years,6.1
Bad or very bad health status,2024,Both sexes,55 - 59 years,7.1
Bad or very bad health status,2024,Both sexes,60 - 64 years,4.7
Bad or very bad health status,2024,Both sexes,65 - 69 years,3.3
Bad or very bad health status,2024,Both sexes,70 - 74 years,5.8
Bad or very bad health status,2024,Both sexes,75 years and over,5.3
Bad or very bad health status,2024,Male,All ages,3.7
Bad or very bad health status,2024,Male,15 - 19 years,1.3
Bad or very bad health status,2024,Male,20 - 24 years,2.8
Bad or very bad health status,2024,Male,25 - 29 years,1.6
Bad or very bad health status,2024,Male,30 - 34 years,1
Bad or very bad health status,2024,Male,35 - 39 years,3.1
Bad or very bad health status,2024,Male,40 - 44 years,2.5
Bad or very bad health status,2024,Male,45 - 49 years,1
Bad or very bad health status,2024,Male,50 - 54 years,6
Bad or very bad health status,2024,Male,55 - 59 years,7.4
Bad or very bad health status,2024,Male,60 - 64 years,8.3
Bad or very bad health status,2024,Male,65 - 69 years,3.3
Bad or very bad health status,2024,Male,70 - 74 years,5.8
Bad or very bad health status,2024,Male,75 years and over,5.1
Bad or very bad health status,2024,Female,All ages,3
Bad or very bad health status,2024,Female,15 - 19 years,2
Bad or very bad health status,2024,Female,20 - 24 years,0
Bad or very bad health status,2024,Female,25 - 29 years,1.2
Bad or very bad health status,2024,Female,30 - 34 years,1.7
Bad or very bad health status,2024,Female,35 - 39 years,0.8
Bad or very bad health status,2024,Female,40 - 44 years,1.8
Bad or very bad health status,2024,Female,45 - 49 years,4.6
Bad or very bad health status,2024,Female,50 - 54 years,6.2
Bad or very bad health status,2024,Female,55 - 59 years,6.9
Bad or very bad health status,2024,Female,60 - 64 years,1.1
Bad or very bad health status,2024,Female,65 - 69 years,3.3
Bad or very bad health status,2024,Female,70 - 74 years,5.8
Bad or very bad health status,2024,Female,75 years and over,5.4
Bad or very bad health status,2025,Both sexes,All ages,3.1
Bad or very bad health status,2025,Both sexes,15 - 19 years,0
Bad or very bad health status,2025,Both sexes,20 - 24 years,0.7
Bad or very bad health status,2025,Both sexes,25 - 29 years,1.1
Bad or very bad health status,2025,Both sexes,30 - 34 years,1.9
Bad or very bad health status,2025,Both sexes,35 - 39 years,1.4
Bad or very bad health status,2025,Both sexes,40 - 44 years,2.8
Bad or very bad health status,2025,Both sexes,45 - 49 years,4.6
Bad or very bad health status,2025,Both sexes,50 - 54 years,3.1
Bad or very bad health status,2025,Both sexes,55 - 59 years,5.7
Bad or very bad health status,2025,Both sexes,60 - 64 years,5.1
Bad or very bad health status,2025,Both sexes,65 - 69 years,7.3
Bad or very bad health status,2025,Both sexes,70 - 74 years,3.5
Bad or very bad health status,2025,Both sexes,75 years and over,4.1
Bad or very bad health status,2025,Male,All ages,3.2
Bad or very bad health status,2025,Male,15 - 19 years,0
Bad or very bad health status,2025,Male,20 - 24 years,1
Bad or very bad health status,2025,Male,25 - 29 years,0
Bad or very bad health status,2025,Male,30 - 34 years,1
Bad or very bad health status,2025,Male,35 - 39 years,2.1
Bad or very bad health status,2025,Male,40 - 44 years,3.6
Bad or very bad health status,2025,Male,45 - 49 years,5.2
Bad or very bad health status,2025,Male,50 - 54 years,3.1
Bad or very bad health status,2025,Male,55 - 59 years,7.5
Bad or very bad health status,2025,Male,60 - 64 years,5.6
Bad or very bad health status,2025,Male,65 - 69 years,4.2
Bad or very bad health status,2025,Male,70 - 74 years,5.3
Bad or very bad health status,2025,Male,75 years and over,4.7
Bad or very bad health status,2025,Female,All ages,2.9
Bad or very bad health status,2025,Female,15 - 19 years,0
Bad or very bad health status,2025,Female,20 - 24 years,0.4
Bad or very bad health status,2025,Female,25 - 29 years,2.2
Bad or very bad health status,2025,Female,30 - 34 years,2.8
Bad or very bad health status,2025,Female,35 - 39 years,0.8
Bad or very bad health status,2025,Female,40 - 44 years,2.1
Bad or very bad health status,2025,Female,45 - 49 years,4.1
Bad or very bad health status,2025,Female,50 - 54 years,3
Bad or very bad health status,2025,Female,55 - 59 years,3.9
Bad or very bad health status,2025,Female,60 - 64 years,4.5
Bad or very bad health status,2025,Female,65 - 69 years,9.8
Bad or very bad health status,2025,Female,70 - 74 years,1.8
Bad or very bad health status,2025,Female,75 years and over,3.5
