table_id,Statistic,Year,Sex,Age.Group,value
HIS15,Persons who drink only once per week,2024,Female,40 - 44 years,18.7
HIS15,Persons who drink only once per week,2024,Female,45 - 49 years,15.8
HIS15,Persons who drink only once per week,2024,Female,50 - 54 years,16.6
HIS15,Persons who drink only once per week,2024,Female,55 - 59 years,22
HIS15,Persons who drink only once per week,2024,Female,60 - 64 years,14.1
HIS15,Persons who drink only once per week,2024,Female,65 - 69 years,14.1
HIS15,Persons who drink only once per week,2024,Female,70 - 74 years,15
HIS15,Persons who drink only once per week,2024,Female,75 years and over,8.4
HIS15,Persons who drink 1 to 3 times per month,2015,Male,15 - 19 years,29.9
HIS15,Persons who drink 1 to 3 times per month,2015,Male,20 - 24 years,26.8
HIS15,Persons who drink 1 to 3 times per month,2015,Male,25 - 29 years,24.3
HIS15,Persons who drink 1 to 3 times per month,2015,Male,30 - 34 years,27.7
HIS15,Persons who drink 1 to 3 times per month,2015,Male,35 - 39 years,29.3
HIS15,Persons who drink 1 to 3 times per month,2015,Male,40 - 44 years,24.5
HIS15,Persons who drink 1 to 3 times per month,2015,Male,45 - 49 years,14.8
HIS15,Persons who drink 1 to 3 times per month,2015,Male,50 - 54 years,12.7
HIS15,Persons who drink 1 to 3 times per month,2015,Male,55 - 59 years,8.9
HIS15,Persons who drink 1 to 3 times per month,2015,Male,60 - 64 years,12.5
HIS15,Persons who drink 1 to 3 times per month,2015,Male,65 - 69 years,12.4
HIS15,Persons who drink 1 to 3 times per month,2015,Male,70 - 74 years,8.9
HIS15,Persons who drink 1 to 3 times per month,2015,Male,75 years and over,10
HIS15,Persons who drink 1 to 3 times per month,2015,Female,15 - 19 years,24.3
HIS15,Persons who drink 1 to 3 times per month,2015,Female,20 - 24 years,32.4
HIS15,Persons who drink 1 to 3 times per month,2015,Female,25 - 29 years,33.3
HIS15,Persons who drink 1 to 3 times per month,2015,Female,30 - 34 years,29.8
HIS15,Persons who drink 1 to 3 times per month,2015,Female,35 - 39 years,25.2
HIS15,Persons who drink 1 to 3 times per month,2015,Female,40 - 44 years,20.1
HIS15,Persons who drink 1 to 3 times per month,2015,Female,45 - 49 years,21.8
HIS15,Persons who drink 1 to 3 times per month,2015,Female,50 - 54 years,17
HIS15,Persons who drink 1 to 3 times per month,2015,Female,55 - 59 years,11.6
HIS15,Persons who drink 1 to 3 times per month,2015,Female,60 - 64 years,13
HIS15,Persons who drink 1 to 3 times per month,2015,Female,65 - 69 years,15.1
HIS15,Persons who drink 1 to 3 times per month,2015,Female,70 - 74 years,9.3
HIS15,Persons who drink 1 to 3 times per month,2015,Female,75 years and over,7.1
HIS15,Persons who drink 1 to 3 times per month,2016,Male,15 - 19 years,17.1
HIS15,Persons who drink 1 to 3 times per month,2016,Male,20 - 24 years,27
HIS15,Persons who drink 1 to 3 times per month,2016,Male,25 - 29 years,29.3
HIS15,Persons who drink 1 to 3 times per month,2016,Male,30 - 34 years,21
HIS15,Persons who drink 1 to 3 times per month,2016,Male,35 - 39 years,19.7
HIS15,Persons who drink 1 to 3 times per month,2016,Male,40 - 44 years,21.1
HIS15,Persons who drink 1 to 3 times per month,2016,Male,45 - 49 years,11.1
HIS15,Persons who drink 1 to 3 times per month,2016,Male,50 - 54 years,19.4
HIS15,Persons who drink 1 to 3 times per month,2016,Male,55 - 59 years,10.8
HIS15,Persons who drink 1 to 3 times per month,2016,Male,60 - 64 years,8.7
HIS15,Persons who drink 1 to 3 times per month,2016,Male,65 - 69 years,11.6
HIS15,Persons who drink 1 to 3 times per month,2016,Male,70 - 74 years,10.1
HIS15,Persons who drink 1 to 3 times per month,2016,Male,75 years and over,8.8
HIS15,Persons who drink 1 to 3 times per month,2016,Female,15 - 19 years,19.6
HIS15,Persons who drink 1 to 3 times per month,2016,Female,20 - 24 years,33.5
HIS15,Persons who drink 1 to 3 times per month,2016,Female,25 - 29 years,36.2
HIS15,Persons who drink 1 to 3 times per month,2016,Female,30 - 34 years,27.8
HIS15,Persons who drink 1 to 3 times per month,2016,Female,35 - 39 years,25.4
HIS15,Persons who drink 1 to 3 times per month,2016,Female,40 - 44 years,22.5
HIS15,Persons who drink 1 to 3 times per month,2016,Female,45 - 49 years,19.2
HIS15,Persons who drink 1 to 3 times per month,2016,Female,50 - 54 years,18.2
HIS15,Persons who drink 1 to 3 times per month,2016,Female,55 - 59 years,17
HIS15,Persons who drink 1 to 3 times per month,2016,Female,60 - 64 years,16.8
HIS15,Persons who drink 1 to 3 times per month,2016,Female,65 - 69 years,13.4
HIS15,Persons who drink 1 to 3 times per month,2016,Female,70 - 74 years,11.4
HIS15,Persons who drink 1 to 3 times per month,2016,Female,75 years and over,7.9
HIS15,Persons who drink 1 to 3 times per month,2017,Male,15 - 19 years,25.5
HIS15,Persons who drink 1 to 3 times per month,2017,Male,20 - 24 years,24.6
HIS15,Persons who drink 1 to 3 times per month,2017,Male,25 - 29 years,27.7
HIS15,Persons who drink 1 to 3 times per month,2017,Male,30 - 34 years,24.9
HIS15,Persons who drink 1 to 3 times per month,2017,Male,35 - 39 years,22.8
HIS15,Persons who drink 1 to 3 times per month,2017,Male,40 - 44 years,25.3
HIS15,Persons who drink 1 to 3 times per month,2017,Male,45 - 49 years,17
HIS15,Persons who drink 1 to 3 times per month,2017,Male,50 - 54 years,13.3
HIS15,Persons who drink 1 to 3 times per month,2017,Male,55 - 59 years,17.6
HIS15,Persons who drink 1 to 3 times per month,2017,Male,60 - 64 years,12.2
HIS15,Persons who drink 1 to 3 times per month,2017,Male,65 - 69 years,7.9
HIS15,Persons who drink 1 to 3 times per month,2017,Male,70 - 74 years,6.4
HIS15,Persons who drink 1 to 3 times per month,2017,Male,75 years and over,9.3
HIS15,Persons who drink 1 to 3 times per month,2017,Female,15 - 19 years,24.6
HIS15,Persons who drink 1 to 3 times per month,2017,Female,20 - 24 years,43
HIS15,Persons who drink 1 to 3 times per month,2017,Female,25 - 29 years,33.7
HIS15,Persons who drink 1 to 3 times per month,2017,Female,30 - 34 years,30
HIS15,Persons who drink 1 to 3 times per month,2017,Female,35 - 39 years,28.7
HIS15,Persons who drink 1 to 3 times per month,2017,Female,40 - 44 years,20.3
HIS15,Persons who drink 1 to 3 times per month,2017,Female,45 - 49 years,18.5
HIS15,Persons who drink 1 to 3 times per month,2017,Female,50 - 54 years,18
HIS15,Persons who drink 1 to 3 times per month,2017,Female,55 - 59 years,16.9
HIS15,Persons who drink 1 to 3 times per month,2017,Female,60 - 64 years,13.9
HIS15,Persons who drink 1 to 3 times per month,2017,Female,65 - 69 years,11.1
HIS15,Persons who drink 1 to 3 times per month,2017,Female,70 - 74 years,13.2
HIS15,Persons who drink 1 to 3 times per month,2017,Female,75 years and over,8.3
HIS15,Persons who drink 1 to 3 times per month,2018,Male,15 - 19 years,22.6
HIS15,Persons who drink 1 to 3 times per month,2018,Male,20 - 24 years,35.8
HIS15,Persons who drink 1 to 3 times per month,2018,Male,25 - 29 years,25.8
HIS15,Persons who drink 1 to 3 times per month,2018,Male,30 - 34 years,23.6
HIS15,Persons who drink 1 to 3 times per month,2018,Male,35 - 39 years,24.1
HIS15,Persons who drink 1 to 3 times per month,2018,Male,40 - 44 years,19.2
HIS15,Persons who drink 1 to 3 times per month,2018,Male,45 - 49 years,19.3
HIS15,Persons who drink 1 to 3 times per month,2018,Male,50 - 54 years,15.4
HIS15,Persons who drink 1 to 3 times per month,2018,Male,55 - 59 years,15.9
HIS15,Persons who drink 1 to 3 times per month,2018,Male,60 - 64 years,9.6
HIS15,Persons who drink 1 to 3 times per month,2018,Male,65 - 69 years,9.4
HIS15,Persons who drink 1 to 3 times per month,2018,Male,70 - 74 years,11.9
HIS15,Persons who drink 1 to 3 times per month,2018,Male,75 years and over,12.6
HIS15,Persons who drink 1 to 3 times per month,2018,Female,15 - 19 years,18.2
HIS15,Persons who drink 1 to 3 times per month,2018,Female,20 - 24 years,41.5
HIS15,Persons who drink 1 to 3 times per month,2018,Female,25 - 29 years,27.4
HIS15,Persons who drink 1 to 3 times per month,2018,Female,30 - 34 years,28.7
HIS15,Persons who drink 1 to 3 times per month,2018,Female,35 - 39 years,22.8
HIS15,Persons who drink 1 to 3 times per month,2018,Female,40 - 44 years,23.2
HIS15,Persons who drink 1 to 3 times per month,2018,Female,45 - 49 years,22.5
HIS15,Persons who drink 1 to 3 times per month,2018,Female,50 - 54 years,22.3
HIS15,Persons who drink 1 to 3 times per month,2018,Female,55 - 59 years,16.7
HIS15,Persons who drink 1 to 3 times per month,2018,Female,60 - 64 years,15
HIS15,Persons who drink 1 to 3 times per month,2018,Female,65 - 69 years,13.3
HIS15,Persons who drink 1 to 3 times per month,2018,Female,70 - 74 years,13.4
HIS15,Persons who drink 1 to 3 times per month,2018,Female,75 years and over,7.3
HIS15,Persons who drink 1 to 3 times per month,2021,Male,15 - 19 years,32.2
HIS15,Persons who drink 1 to 3 times per month,2021,Male,20 - 24 years,29.6
HIS15,Persons who drink 1 to 3 times per month,2021,Male,25 - 29 years,22.9
HIS15,Persons who drink 1 to 3 times per month,2021,Male,30 - 34 years,19.7
HIS15,Persons who drink 1 to 3 times per month,2021,Male,35 - 39 years,20.9
HIS15,Persons who drink 1 to 3 times per month,2021,Male,40 - 44 years,15.6
HIS15,Persons who drink 1 to 3 times per month,2021,Male,45 - 49 years,11.4
HIS15,Persons who drink 1 to 3 times per month,2021,Male,50 - 54 years,11.7
HIS15,Persons who drink 1 to 3 times per month,2021,Male,55 - 59 years,12.1
HIS15,Persons who drink 1 to 3 times per month,2021,Male,60 - 64 years,10.5
HIS15,Persons who drink 1 to 3 times per month,2021,Male,65 - 69 years,11.3
HIS15,Persons who drink 1 to 3 times per month,2021,Male,70 - 74 years,9.9
HIS15,Persons who drink 1 to 3 times per month,2021,Male,75 years and over,7.5
HIS15,Persons who drink 1 to 3 times per month,2021,Female,15 - 19 years,26.5
HIS15,Persons who drink 1 to 3 times per month,2021,Female,20 - 24 years,41.1
HIS15,Persons who drink 1 to 3 times per month,2021,Female,25 - 29 years,24.1
HIS15,Persons who drink 1 to 3 times per month,2021,Female,30 - 34 years,22.3
HIS15,Persons who drink 1 to 3 times per month,2021,Female,35 - 39 years,16
HIS15,Persons who drink 1 to 3 times per month,2021,Female,40 - 44 years,17.4
HIS15,Persons who drink 1 to 3 times per month,2021,Female,45 - 49 years,16.7
HIS15,Persons who drink 1 to 3 times per month,2021,Female,50 - 54 years,11.3
HIS15,Persons who drink 1 to 3 times per month,2021,Female,55 - 59 years,12.3
HIS15,Persons who drink 1 to 3 times per month,2021,Female,60 - 64 years,9.7
HIS15,Persons who drink 1 to 3 times per month,2021,Female,65 - 69 years,9.9
HIS15,Persons who drink 1 to 3 times per month,2021,Female,70 - 74 years,14.1
HIS15,Persons who drink 1 to 3 times per month,2021,Female,75 years and over,9.4
HIS15,Persons who drink 1 to 3 times per month,2022,Male,15 - 19 years,29.9
HIS15,Persons who drink 1 to 3 times per month,2022,Male,20 - 24 years,30.2
HIS15,Persons who drink 1 to 3 times per month,2022,Male,25 - 29 years,23.4
HIS15,Persons who drink 1 to 3 times per month,2022,Male,30 - 34 years,25.1
HIS15,Persons who drink 1 to 3 times per month,2022,Male,35 - 39 years,17.6
HIS15,Persons who drink 1 to 3 times per month,2022,Male,40 - 44 years,21.4
HIS15,Persons who drink 1 to 3 times per month,2022,Male,45 - 49 years,15.6
HIS15,Persons who drink 1 to 3 times per month,2022,Male,50 - 54 years,12.7
HIS15,Persons who drink 1 to 3 times per month,2022,Male,55 - 59 years,18.7
HIS15,Persons who drink 1 to 3 times per month,2022,Male,60 - 64 years,13.4
HIS15,Persons who drink 1 to 3 times per month,2022,Male,65 - 69 years,7.7
HIS15,Persons who drink 1 to 3 times per month,2022,Male,70 - 74 years,15.8
HIS15,Persons who drink 1 to 3 times per month,2022,Male,75 years and over,5.9
HIS15,Persons who drink 1 to 3 times per month,2022,Female,15 - 19 years,24.6
HIS15,Persons who drink 1 to 3 times per month,2022,Female,20 - 24 years,37.7
HIS15,Persons who drink 1 to 3 times per month,2022,Female,25 - 29 years,27.8
HIS15,Persons who drink 1 to 3 times per month,2022,Female,30 - 34 years,28.3
HIS15,Persons who drink 1 to 3 times per month,2022,Female,35 - 39 years,23.1
HIS15,Persons who drink 1 to 3 times per month,2022,Female,40 - 44 years,25.6
HIS15,Persons who drink 1 to 3 times per month,2022,Female,45 - 49 years,21.1
HIS15,Persons who drink 1 to 3 times per month,2022,Female,50 - 54 years,19.2
HIS15,Persons who drink 1 to 3 times per month,2022,Female,55 - 59 years,10.3
HIS15,Persons who drink 1 to 3 times per month,2022,Female,60 - 64 years,14.6
HIS15,Persons who drink 1 to 3 times per month,2022,Female,65 - 69 years,16
HIS15,Persons who drink 1 to 3 times per month,2022,Female,70 - 74 years,13.6
HIS15,Persons who drink 1 to 3 times per month,2022,Female,75 years and over,6.1
HIS15,Persons who drink 1 to 3 times per month,2023,Male,15 - 19 years,28.9
HIS15,Persons who drink 1 to 3 times per month,2023,Male,20 - 24 years,36.6
HIS15,Persons who drink 1 to 3 times per month,2023,Male,25 - 29 years,36.3
HIS15,Persons who drink 1 to 3 times per month,2023,Male,30 - 34 years,25.6
HIS15,Persons who drink 1 to 3 times per month,2023,Male,35 - 39 years,26.2
HIS15,Persons who drink 1 to 3 times per month,2023,Male,40 - 44 years,22.5
HIS15,Persons who drink 1 to 3 times per month,2023,Male,45 - 49 years,20.2
HIS15,Persons who drink 1 to 3 times per month,2023,Male,50 - 54 years,20.5
HIS15,Persons who drink 1 to 3 times per month,2023,Male,55 - 59 years,13.7
HIS15,Persons who drink 1 to 3 times per month,2023,Male,60 - 64 years,10.5
HIS15,Persons who drink 1 to 3 times per month,2023,Male,65 - 69 years,8.7
HIS15,Persons who drink 1 to 3 times per month,2023,Male,70 - 74 years,12
HIS15,Persons who drink 1 to 3 times per month,2023,Male,75 years and over,9
HIS15,Persons who drink 1 to 3 times per month,2023,Female,15 - 19 years,42.2
HIS15,Persons who drink 1 to 3 times per month,2023,Female,20 - 24 years,34.9
HIS15,Persons who drink 1 to 3 times per month,2023,Female,25 - 29 years,35.1
HIS15,Persons who drink 1 to 3 times per month,2023,Female,30 - 34 years,24.9
HIS15,Persons who drink 1 to 3 times per month,2023,Female,35 - 39 years,23.6
HIS15,Persons who drink 1 to 3 times per month,2023,Female,40 - 44 years,20.3
HIS15,Persons who drink 1 to 3 times per month,2023,Female,45 - 49 years,21.5
HIS15,Persons who drink 1 to 3 times per month,2023,Female,50 - 54 years,17.6
HIS15,Persons who drink 1 to 3 times per month,2023,Female,55 - 59 years,21
HIS15,Persons who drink 1 to 3 times per month,2023,Female,60 - 64 years,10.8
HIS15,Persons who drink 1 to 3 times per month,2023,Female,65 - 69 years,10.4
HIS15,Persons who drink 1 to 3 times per month,2023,Female,70 - 74 years,11
HIS15,Persons who drink 1 to 3 times per month,2023,Female,75 years and over,8.8
HIS15,Persons who drink 1 to 3 times per month,2024,Male,15 - 19 years,36.7
HIS15,Persons who drink 1 to 3 times per month,2024,Male,20 - 24 years,30.9
HIS15,Persons who drink 1 to 3 times per month,2024,Male,25 - 29 years,34.5
HIS15,Persons who drink 1 to 3 times per month,2024,Male,30 - 34 years,32.1
HIS15,Persons who drink 1 to 3 times per month,2024,Male,35 - 39 years,30.8
HIS15,Persons who drink 1 to 3 times per month,2024,Male,40 - 44 years,24.8
HIS15,Persons who drink 1 to 3 times per month,2024,Male,45 - 49 years,21.9
HIS15,Persons who drink 1 to 3 times per month,2024,Male,50 - 54 years,18.2
HIS15,Persons who drink 1 to 3 times per month,2024,Male,55 - 59 years,15.4
HIS15,Persons who drink 1 to 3 times per month,2024,Male,60 - 64 years,11.2
HIS15,Persons who drink 1 to 3 times per month,2024,Male,65 - 69 years,11.6
HIS15,Persons who drink 1 to 3 times per month,2024,Male,70 - 74 years,14.2
HIS15,Persons who drink 1 to 3 times per month,2024,Male,75 years and over,7
HIS15,Persons who drink 1 to 3 times per month,2024,Female,15 - 19 years,26.2
HIS15,Persons who drink 1 to 3 times per month,2024,Female,20 - 24 years,37
HIS15,Persons who drink 1 to 3 times per month,2024,Female,25 - 29 years,31.1
HIS15,Persons who drink 1 to 3 times per month,2024,Female,30 - 34 years,28.4
HIS15,Persons who drink 1 to 3 times per month,2024,Female,35 - 39 years,27.8
HIS15,Persons who drink 1 to 3 times per month,2024,Female,40 - 44 years,25.2
HIS15,Persons who drink 1 to 3 times per month,2024,Female,45 - 49 years,22.5
HIS15,Persons who drink 1 to 3 times per month,2024,Female,50 - 54 years,20.5
HIS15,Persons who drink 1 to 3 times per month,2024,Female,55 - 59 years,19.1
HIS15,Persons who drink 1 to 3 times per month,2024,Female,60 - 64 years,14.9
HIS15,Persons who drink 1 to 3 times per month,2024,Female,65 - 69 years,11.8
HIS15,Persons who drink 1 to 3 times per month,2024,Female,70 - 74 years,16.6
HIS15,Persons who drink 1 to 3 times per month,2024,Female,75 years and over,8.2
HIS15,Persons who have not drank in a month or longer,2015,Male,15 - 19 years,13.5
HIS15,Persons who have not drank in a month or longer,2015,Male,20 - 24 years,12.1
HIS15,Persons who have not drank in a month or longer,2015,Male,25 - 29 years,17.6
HIS15,Persons who have not drank in a month or longer,2015,Male,30 - 34 years,13
HIS15,Persons who have not drank in a month or longer,2015,Male,35 - 39 years,18.7
HIS15,Persons who have not drank in a month or longer,2015,Male,40 - 44 years,15.5
HIS15,Persons who have not drank in a month or longer,2015,Male,45 - 49 years,18
HIS15,Persons who have not drank in a month or longer,2015,Male,50 - 54 years,17.6
HIS15,Persons who have not drank in a month or longer,2015,Male,55 - 59 years,13.2
HIS15,Persons who have not drank in a month or longer,2015,Male,60 - 64 years,20.8
HIS15,Persons who have not drank in a month or longer,2015,Male,65 - 69 years,18.4
HIS15,Persons who have not drank in a month or longer,2015,Male,70 - 74 years,22.6
HIS15,Persons who have not drank in a month or longer,2015,Male,75 years and over,23.8
HIS15,Persons who have not drank in a month or longer,2015,Female,15 - 19 years,13.4
HIS15,Persons who have not drank in a month or longer,2015,Female,20 - 24 years,16.3
HIS15,Persons who have not drank in a month or longer,2015,Female,25 - 29 years,17
HIS15,Persons who have not drank in a month or longer,2015,Female,30 - 34 years,22.1
HIS15,Persons who have not drank in a month or longer,2015,Female,35 - 39 years,25
HIS15,Persons who have not drank in a month or longer,2015,Female,40 - 44 years,22.6
HIS15,Persons who have not drank in a month or longer,2015,Female,45 - 49 years,23.3
HIS15,Persons who have not drank in a month or longer,2015,Female,50 - 54 years,25.4
HIS15,Persons who have not drank in a month or longer,2015,Female,55 - 59 years,28.5
HIS15,Persons who have not drank in a month or longer,2015,Female,60 - 64 years,30.6
HIS15,Persons who have not drank in a month or longer,2015,Female,65 - 69 years,25.7
HIS15,Persons who have not drank in a month or longer,2015,Female,70 - 74 years,23.6
HIS15,Persons who have not drank in a month or longer,2015,Female,75 years and over,24.7
HIS15,Persons who have not drank in a month or longer,2016,Male,15 - 19 years,19
HIS15,Persons who have not drank in a month or longer,2016,Male,20 - 24 years,11.7
HIS15,Persons who have not drank in a month or longer,2016,Male,25 - 29 years,14
HIS15,Persons who have not drank in a month or longer,2016,Male,30 - 34 years,16.3
HIS15,Persons who have not drank in a month or longer,2016,Male,35 - 39 years,12.9
HIS15,Persons who have not drank in a month or longer,2016,Male,40 - 44 years,12.2
HIS15,Persons who have not drank in a month or longer,2016,Male,45 - 49 years,21.3
HIS15,Persons who have not drank in a month or longer,2016,Male,50 - 54 years,18.5
HIS15,Persons who have not drank in a month or longer,2016,Male,55 - 59 years,15.8
HIS15,Persons who have not drank in a month or longer,2016,Male,60 - 64 years,16.5
HIS15,Persons who have not drank in a month or longer,2016,Male,65 - 69 years,16.8
HIS15,Persons who have not drank in a month or longer,2016,Male,70 - 74 years,21.8
HIS15,Persons who have not drank in a month or longer,2016,Male,75 years and over,20.7
HIS15,Persons who have not drank in a month or longer,2016,Female,15 - 19 years,14.5
HIS15,Persons who have not drank in a month or longer,2016,Female,20 - 24 years,10.1
HIS15,Persons who have not drank in a month or longer,2016,Female,25 - 29 years,17.6
HIS15,Persons who have not drank in a month or longer,2016,Female,30 - 34 years,25
HIS15,Persons who have not drank in a month or longer,2016,Female,35 - 39 years,23.8
HIS15,Persons who have not drank in a month or longer,2016,Female,40 - 44 years,18.6
HIS15,Persons who have not drank in a month or longer,2016,Female,45 - 49 years,19.5
HIS15,Persons who have not drank in a month or longer,2016,Female,50 - 54 years,19.5
HIS15,Persons who have not drank in a month or longer,2016,Female,55 - 59 years,24.4
HIS15,Persons who have not drank in a month or longer,2016,Female,60 - 64 years,17.4
HIS15,Persons who have not drank in a month or longer,2016,Female,65 - 69 years,27.2
HIS15,Persons who have not drank in a month or longer,2016,Female,70 - 74 years,18.5
HIS15,Persons who have not drank in a month or longer,2016,Female,75 years and over,23.1
HIS15,Persons who have not drank in a month or longer,2017,Male,15 - 19 years,14.8
HIS15,Persons who have not drank in a month or longer,2017,Male,20 - 24 years,11.5
HIS15,Persons who have not drank in a month or longer,2017,Male,25 - 29 years,12.3
HIS15,Persons who have not drank in a month or longer,2017,Male,30 - 34 years,21.3
HIS15,Persons who have not drank in a month or longer,2017,Male,35 - 39 years,13
HIS15,Persons who have not drank in a month or longer,2017,Male,40 - 44 years,14.7
HIS15,Persons who have not drank in a month or longer,2017,Male,45 - 49 years,15.5
HIS15,Persons who have not drank in a month or longer,2017,Male,50 - 54 years,15.4
HIS15,Persons who have not drank in a month or longer,2017,Male,55 - 59 years,14.1
HIS15,Persons who have not drank in a month or longer,2017,Male,60 - 64 years,15
HIS15,Persons who have not drank in a month or longer,2017,Male,65 - 69 years,22.9
HIS15,Persons who have not drank in a month or longer,2017,Male,70 - 74 years,22.2
HIS15,Persons who have not drank in a month or longer,2017,Male,75 years and over,20.6
HIS15,Persons who have not drank in a month or longer,2017,Female,15 - 19 years,19
HIS15,Persons who have not drank in a month or longer,2017,Female,20 - 24 years,13.4
HIS15,Persons who have not drank in a month or longer,2017,Female,25 - 29 years,22.6
HIS15,Persons who have not drank in a month or longer,2017,Female,30 - 34 years,22.8
HIS15,Persons who have not drank in a month or longer,2017,Female,35 - 39 years,23.9
HIS15,Persons who have not drank in a month or longer,2017,Female,40 - 44 years,22.2
HIS15,Persons who have not drank in a month or longer,2017,Female,45 - 49 years,19.6
HIS15,Persons who have not drank in a month or longer,2017,Female,50 - 54 years,22.7
HIS15,Persons who have not drank in a month or longer,2017,Female,55 - 59 years,23.2
HIS15,Persons who have not drank in a month or longer,2017,Female,60 - 64 years,25.1
HIS15,Persons who have not drank in a month or longer,2017,Female,65 - 69 years,24.6
HIS15,Persons who have not drank in a month or longer,2017,Female,70 - 74 years,17.1
HIS15,Persons who have not drank in a month or longer,2017,Female,75 years and over,23.8
HIS15,Persons who have not drank in a month or longer,2018,Male,15 - 19 years,12.4
HIS15,Persons who have not drank in a month or longer,2018,Male,20 - 24 years,8.2
HIS15,Persons who have not drank in a month or longer,2018,Male,25 - 29 years,13.4
HIS15,Persons who have not drank in a month or longer,2018,Male,30 - 34 years,11.1
HIS15,Persons who have not drank in a month or longer,2018,Male,35 - 39 years,14.8
HIS15,Persons who have not drank in a month or longer,2018,Male,40 - 44 years,13.2
HIS15,Persons who have not drank in a month or longer,2018,Male,45 - 49 years,13.3
HIS15,Persons who have not drank in a month or longer,2018,Male,50 - 54 years,12.6
HIS15,Persons who have not drank in a month or longer,2018,Male,55 - 59 years,14.4
HIS15,Persons who have not drank in a month or longer,2018,Male,60 - 64 years,18.6
HIS15,Persons who have not drank in a month or longer,2018,Male,65 - 69 years,17.3
HIS15,Persons who have not drank in a month or longer,2018,Male,70 - 74 years,14.4
HIS15,Persons who have not drank in a month or longer,2018,Male,75 years and over,25.8
HIS15,Persons who have not drank in a month or longer,2018,Female,15 - 19 years,13.7
HIS15,Persons who have not drank in a month or longer,2018,Female,20 - 24 years,11.2
HIS15,Persons who have not drank in a month or longer,2018,Female,25 - 29 years,18.2
HIS15,Persons who have not drank in a month or longer,2018,Female,30 - 34 years,24.3
HIS15,Persons who have not drank in a month or longer,2018,Female,35 - 39 years,25.6
HIS15,Persons who have not drank in a month or longer,2018,Female,40 - 44 years,21.5
HIS15,Persons who have not drank in a month or longer,2018,Female,45 - 49 years,17.3
HIS15,Persons who have not drank in a month or longer,2018,Female,50 - 54 years,15.6
HIS15,Persons who have not drank in a month or longer,2018,Female,55 - 59 years,15.5
HIS15,Persons who have not drank in a month or longer,2018,Female,60 - 64 years,23.6
HIS15,Persons who have not drank in a month or longer,2018,Female,65 - 69 years,27.6
HIS15,Persons who have not drank in a month or longer,2018,Female,70 - 74 years,24.6
HIS15,Persons who have not drank in a month or longer,2018,Female,75 years and over,26.4
HIS15,Persons who have not drank in a month or longer,2021,Male,15 - 19 years,15.3
HIS15,Persons who have not drank in a month or longer,2021,Male,20 - 24 years,18.5
HIS15,Persons who have not drank in a month or longer,2021,Male,25 - 29 years,19.1
HIS15,Persons who have not drank in a month or longer,2021,Male,30 - 34 years,21.1
HIS15,Persons who have not drank in a month or longer,2021,Male,35 - 39 years,20.5
HIS15,Persons who have not drank in a month or longer,2021,Male,40 - 44 years,24.9
HIS15,Persons who have not drank in a month or longer,2021,Male,45 - 49 years,22.9
HIS15,Persons who have not drank in a month or longer,2021,Male,50 - 54 years,27.3
HIS15,Persons who have not drank in a month or longer,2021,Male,55 - 59 years,24.3
HIS15,Persons who have not drank in a month or longer,2021,Male,60 - 64 years,26.8
HIS15,Persons who have not drank in a month or longer,2021,Male,65 - 69 years,30.9
HIS15,Persons who have not drank in a month or longer,2021,Male,70 - 74 years,26.7
HIS15,Persons who have not drank in a month or longer,2021,Male,75 years and over,28.3
HIS15,Persons who have not drank in a month or longer,2021,Female,15 - 19 years,25.5
HIS15,Persons who have not drank in a month or longer,2021,Female,20 - 24 years,18.5
HIS15,Persons who have not drank in a month or longer,2021,Female,25 - 29 years,23.3
HIS15,Persons who have not drank in a month or longer,2021,Female,30 - 34 years,21.7
HIS15,Persons who have not drank in a month or longer,2021,Female,35 - 39 years,27.3
HIS15,Persons who have not drank in a month or longer,2021,Female,40 - 44 years,20
HIS15,Persons who have not drank in a month or longer,2021,Female,45 - 49 years,18.9
HIS15,Persons who have not drank in a month or longer,2021,Female,50 - 54 years,29
HIS15,Persons who have not drank in a month or longer,2021,Female,55 - 59 years,24.6
HIS15,Persons who have not drank in a month or longer,2021,Female,60 - 64 years,25.2
HIS15,Persons who have not drank in a month or longer,2021,Female,65 - 69 years,24
HIS15,Persons who have not drank in a month or longer,2021,Female,70 - 74 years,23.4
HIS15,Persons who have not drank in a month or longer,2021,Female,75 years and over,27.7
HIS15,Persons who have not drank in a month or longer,2022,Male,15 - 19 years,11.6
HIS15,Persons who have not drank in a month or longer,2022,Male,20 - 24 years,16.2
HIS15,Persons who have not drank in a month or longer,2022,Male,25 - 29 years,18.4
HIS15,Persons who have not drank in a month or longer,2022,Male,30 - 34 years,18.1
HIS15,Persons who have not drank in a month or longer,2022,Male,35 - 39 years,26.3
HIS15,Persons who have not drank in a month or longer,2022,Male,40 - 44 years,21.6
HIS15,Persons who have not drank in a month or longer,2022,Male,45 - 49 years,24.4
HIS15,Persons who have not drank in a month or longer,2022,Male,50 - 54 years,27
HIS15,Persons who have not drank in a month or longer,2022,Male,55 - 59 years,14.2
HIS15,Persons who have not drank in a month or longer,2022,Male,60 - 64 years,17
HIS15,Persons who have not drank in a month or longer,2022,Male,65 - 69 years,19.4
HIS15,Persons who have not drank in a month or longer,2022,Male,70 - 74 years,20.3
HIS15,Persons who have not drank in a month or longer,2022,Male,75 years and over,18.2
HIS15,Persons who have not drank in a month or longer,2022,Female,15 - 19 years,21.3
HIS15,Persons who have not drank in a month or longer,2022,Female,20 - 24 years,14.8
